epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,3190.71,0.97273,0.88783,1.10249,0.93517,0.86538,0.91898,0.75696,1.09736,0.9499,1.1815,0.00901,0.00901,0.00901
77,3232.15,0.94466,0.84196,1.07573,0.87967,0.87634,0.91862,0.76244,1.01807,1.0157,1.11695,0.0089968,0.0089968,0.0089968
78,3273.85,0.95487,0.93347,1.0834,0.91966,0.88966,0.92136,0.77134,1.0508,0.95169,1.13554,0.0089836,0.0089836,0.0089836
79,3315.18,0.96578,0.85055,1.08867,0.91966,0.88655,0.91809,0.76949,1.04981,0.85646,1.14005,0.0089704,0.0089704,0.0089704
80,3357.06,0.97091,0.84322,1.08555,0.94041,0.87584,0.91999,0.7675,1.08653,0.98726,1.16923,0.0089572,0.0089572,0.0089572
81,3397.72,0.94748,0.84181,1.07429,0.89983,0.88643,0.92247,0.76741,1.09467,0.91097,1.15914,0.008944,0.008944,0.008944
82,3442.24,0.95032,0.8326,1.08856,0.9281,0.90822,0.92677,0.77308,1.03714,0.88353,1.13529,0.0089308,0.0089308,0.0089308
83,3483.27,0.93614,0.82716,1.08386,0.8855,0.88881,0.92233,0.75159,1.06027,0.90038,1.17109,0.0089176,0.0089176,0.0089176
84,3524.69,0.94557,0.82281,1.0775,0.90509,0.89896,0.91942,0.77629,1.06033,0.91556,1.14237,0.0089044,0.0089044,0.0089044
85,3565.55,0.96448,0.85837,1.08621,0.90827,0.85372,0.92057,0.76155,1.04602,0.92812,1.13402,0.0088912,0.0088912,0.0088912
86,3606.66,0.92708,0.81679,1.07043,0.9461,0.89922,0.93461,0.79065,1.03505,0.85364,1.10161,0.008878,0.008878,0.008878
87,3648.4,0.94905,0.86044,1.08219,0.9208,0.87653,0.91347,0.76506,1.06676,0.96166,1.15255,0.0088648,0.0088648,0.0088648
88,3690.19,0.95945,0.82479,1.07787,0.90606,0.88724,0.92492,0.77084,1.02559,0.8655,1.12192,0.0088516,0.0088516,0.0088516
89,3733.12,0.95628,0.8369,1.07674,0.91368,0.88572,0.91435,0.77117,1.03878,0.88353,1.1196,0.0088384,0.0088384,0.0088384
90,3775.31,0.93005,0.79773,1.07306,0.92594,0.89296,0.92591,0.77266,1.05028,0.86821,1.15377,0.0088252,0.0088252,0.0088252
91,3817.72,0.94503,0.81393,1.07576,0.9311,0.85675,0.91837,0.76386,1.06578,0.91352,1.15764,0.008812,0.008812,0.008812
92,3859.9,0.91844,0.83403,1.05924,0.92466,0.87123,0.91756,0.7566,1.07532,0.90659,1.15893,0.0087988,0.0087988,0.0087988
93,3901.84,0.92445,0.79888,1.0617,0.89915,0.88415,0.91441,0.77476,1.07309,0.93947,1.14755,0.0087856,0.0087856,0.0087856
94,3943.98,0.92635,0.81248,1.06245,0.92535,0.91107,0.92832,0.78388,1.0403,0.90314,1.12541,0.0087724,0.0087724,0.0087724
95,3986.38,0.93786,0.79908,1.07226,0.92724,0.8924,0.92943,0.78805,1.05058,0.87547,1.12742,0.0087592,0.0087592,0.0087592
96,4028.43,0.92107,0.79583,1.06585,0.91661,0.88074,0.92597,0.78766,1.01568,0.87312,1.09562,0.008746,0.008746,0.008746
97,4070.48,0.89611,0.76447,1.05493,0.92618,0.88501,0.92514,0.78109,1.04039,0.90819,1.12052,0.0087328,0.0087328,0.0087328
98,4113.11,0.91467,0.77754,1.06425,0.9138,0.89878,0.91828,0.76831,1.01535,0.89729,1.10827,0.0087196,0.0087196,0.0087196
99,4155.15,0.91216,0.77972,1.05224,0.9454,0.84895,0.9234,0.7745,1.03597,0.89748,1.12371,0.0087064,0.0087064,0.0087064
100,4197.21,0.9136,0.77734,1.05476,0.92752,0.88236,0.91592,0.75705,1.0579,0.8845,1.13658,0.0086932,0.0086932,0.0086932
101,4239.52,0.89807,0.79285,1.06313,0.92914,0.8914,0.92953,0.79179,1.06096,0.88428,1.13922,0.00868,0.00868,0.00868
102,4280.63,0.90656,0.78486,1.06012,0.91335,0.89069,0.92483,0.78828,1.02078,0.92781,1.10655,0.0086668,0.0086668,0.0086668
103,4322.53,0.89991,0.77025,1.05799,0.87613,0.86921,0.91705,0.77564,1.05399,0.93294,1.13122,0.0086536,0.0086536,0.0086536
104,4364.8,0.92809,0.79152,1.06621,0.95917,0.88319,0.92897,0.78439,1.01704,0.85423,1.11466,0.0086404,0.0086404,0.0086404
