epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
135,5627.39,0.87887,0.7102,1.0396,0.9432,0.90012,0.9222,0.78355,1.03511,0.84728,1.12174,0.00986734,0.00986734,0.00986734
136,5669.28,0.88968,0.7275,1.03908,0.89011,0.88794,0.91408,0.76618,1.05528,0.92935,1.13498,0.00986635,0.00986635,0.00986635
137,5711.37,0.90521,0.73627,1.04632,0.92277,0.88572,0.92034,0.78226,1.0384,0.89329,1.1298,0.00986536,0.00986536,0.00986536
138,5753.67,0.87492,0.73337,1.03754,0.94703,0.88759,0.926,0.78638,1.00068,0.88799,1.10793,0.00986437,0.00986437,0.00986437
139,5795.67,0.87835,0.70485,1.03881,0.91882,0.89441,0.92112,0.78895,1.00851,0.91924,1.12177,0.00986338,0.00986338,0.00986338
140,5838.13,0.86519,0.73183,1.04566,0.94603,0.89604,0.92532,0.78685,0.99534,0.85544,1.10344,0.00986239,0.00986239,0.00986239
141,5880.01,0.88056,0.74551,1.03998,0.92484,0.89449,0.92902,0.78168,0.99378,0.85585,1.09875,0.0098614,0.0098614,0.0098614
142,5922.07,0.86845,0.70338,1.02811,0.95106,0.89765,0.9267,0.79128,1.05079,0.84652,1.12803,0.00986041,0.00986041,0.00986041
143,5964.12,0.85733,0.68318,1.03069,0.94432,0.87588,0.92217,0.78365,1.04142,0.8789,1.12666,0.00985942,0.00985942,0.00985942
144,6006.39,0.86627,0.69229,1.0361,0.91367,0.87513,0.91397,0.77454,1.05662,1.00152,1.14707,0.00985843,0.00985843,0.00985843
145,6048.61,0.87577,0.7048,1.03488,0.92425,0.90471,0.92623,0.77875,1.04946,0.86666,1.13645,0.00985744,0.00985744,0.00985744
146,6090.51,0.89711,0.71698,1.06955,0.94457,0.9166,0.93655,0.80422,1.00442,0.77768,1.09991,0.00985645,0.00985645,0.00985645
147,6133.12,0.86813,0.70611,1.0406,0.93596,0.89765,0.92424,0.78337,1.00813,0.83736,1.09549,0.00985546,0.00985546,0.00985546
148,6175,0.86653,0.69348,1.02941,0.91652,0.90903,0.92094,0.78734,1.00237,0.88964,1.09476,0.00985447,0.00985447,0.00985447
149,6217.04,0.87065,0.68454,1.0333,0.93486,0.90291,0.92445,0.78514,1.00501,0.84128,1.0948,0.00985348,0.00985348,0.00985348
150,6259.66,0.87386,0.70831,1.03741,0.94784,0.89177,0.93451,0.81104,1.00609,0.80931,1.08907,0.00985249,0.00985249,0.00985249
151,6301.82,0.87445,0.7004,1.0325,0.92439,0.89197,0.92288,0.78901,1.03839,0.89426,1.13823,0.0098515,0.0098515,0.0098515
152,6344.04,0.84886,0.68887,1.023,0.93449,0.89908,0.92928,0.78656,1.0031,0.82419,1.09668,0.00985051,0.00985051,0.00985051
153,6386.98,0.85418,0.69001,1.01525,0.9447,0.89129,0.92825,0.7846,1.01365,0.84427,1.12752,0.00984952,0.00984952,0.00984952
154,6429.56,0.89037,0.70265,1.03613,0.93528,0.88431,0.92362,0.7815,1.01874,0.90605,1.10734,0.00984853,0.00984853,0.00984853
155,6471.62,0.84567,0.67519,1.02001,0.92972,0.88838,0.93056,0.79285,0.98482,0.82649,1.08804,0.00984754,0.00984754,0.00984754
156,6513.74,0.85951,0.69032,1.02974,0.94452,0.8969,0.92526,0.79891,1.03157,0.7982,1.13031,0.00984655,0.00984655,0.00984655
157,6556.24,0.86121,0.70575,1.03735,0.93824,0.87639,0.92342,0.77873,1.02442,0.91295,1.12933,0.00984556,0.00984556,0.00984556
158,6598.94,0.85422,0.68265,1.02266,0.9171,0.90305,0.92232,0.78828,1.00632,0.8724,1.1056,0.00984457,0.00984457,0.00984457
159,6641.23,0.85494,0.69409,1.02428,0.91743,0.91344,0.93265,0.78514,1.03183,0.8441,1.1104,0.00984358,0.00984358,0.00984358
160,6684.1,0.86807,0.7051,1.03488,0.94255,0.90318,0.92943,0.78416,1.01848,0.80446,1.12116,0.00984259,0.00984259,0.00984259
161,6726.84,0.86019,0.68462,1.03763,0.93025,0.88526,0.92338,0.78817,1.02106,0.87281,1.11458,0.0098416,0.0098416,0.0098416
162,6769.37,0.84428,0.65613,1.02062,0.93,0.86499,0.91479,0.77681,1.02153,0.93856,1.1312,0.00984061,0.00984061,0.00984061
163,6811.62,0.87861,0.70143,1.02558,0.92386,0.87364,0.92067,0.78879,0.99808,0.91213,1.10218,0.00983962,0.00983962,0.00983962
164,6854.49,0.88368,0.74937,1.03672,0.94672,0.88216,0.92385,0.78632,1.00477,0.89334,1.11231,0.00983863,0.00983863,0.00983863
165,6896.73,0.84459,0.67139,1.01668,0.90669,0.88842,0.91588,0.78438,1.00894,0.95429,1.09333,0.00983764,0.00983764,0.00983764
166,6938.91,0.85812,0.68328,1.03119,0.91847,0.88785,0.92396,0.79417,0.98789,0.83445,1.07915,0.00983665,0.00983665,0.00983665
167,6980.83,0.83401,0.66334,1.02307,0.93386,0.87547,0.92219,0.8029,0.98333,0.87016,1.09291,0.00983566,0.00983566,0.00983566
168,7023.45,0.85655,0.68181,1.03575,0.93231,0.88933,0.92033,0.79012,1.022,0.8903,1.12495,0.00983467,0.00983467,0.00983467
169,7065.79,0.8102,0.66273,1.01621,0.9074,0.89181,0.92327,0.78843,1.0111,0.92256,1.12851,0.00983368,0.00983368,0.00983368
170,7108.3,0.83373,0.68333,1.02989,0.93806,0.8856,0.93147,0.79297,0.99328,0.85803,1.11368,0.00983269,0.00983269,0.00983269
171,7150.36,0.84259,0.67168,1.01766,0.92311,0.87506,0.9181,0.77801,1.00201,0.92064,1.12514,0.0098317,0.0098317,0.0098317
172,7193.04,0.84003,0.68259,1.01556,0.93353,0.90118,0.92867,0.79253,0.99746,0.92892,1.11159,0.00983071,0.00983071,0.00983071
173,7235.06,0.83892,0.66098,1.01855,0.93267,0.88572,0.92504,0.79618,0.99522,0.9001,1.09456,0.00982972,0.00982972,0.00982972
174,7277.24,0.83841,0.66747,1.01639,0.94473,0.89069,0.92898,0.79638,0.98819,0.89554,1.10259,0.00982873,0.00982873,0.00982873
175,7319.99,0.85866,0.66475,1.0205,0.91264,0.89268,0.9234,0.79705,0.99099,0.892,1.10083,0.00982774,0.00982774,0.00982774
176,7361.9,0.86456,0.67449,1.02554,0.93599,0.89282,0.92827,0.7933,1.03415,0.91602,1.11998,0.00982675,0.00982675,0.00982675
177,7404.08,0.83961,0.66301,1.01298,0.91966,0.89481,0.92354,0.7963,0.99902,0.93731,1.10007,0.00982576,0.00982576,0.00982576
178,7446.35,0.82793,0.64151,1.01912,0.91317,0.89071,0.92211,0.7832,1.06672,0.94058,1.16543,0.00982477,0.00982477,0.00982477
179,7488.27,0.86049,0.67146,1.01271,0.94031,0.88223,0.92224,0.78458,1.02182,0.88619,1.11721,0.00982378,0.00982378,0.00982378
180,7531.14,0.82169,0.64422,1.00486,0.94725,0.87016,0.92326,0.79342,0.99295,0.9478,1.09782,0.00982279,0.00982279,0.00982279
181,7573.04,0.80563,0.64281,0.99962,0.93356,0.90075,0.92936,0.80198,0.9864,0.89458,1.08585,0.0098218,0.0098218,0.0098218
182,7615.5,0.8191,0.63903,1.01327,0.90479,0.89837,0.91812,0.79437,0.99388,0.91927,1.10865,0.00982081,0.00982081,0.00982081
